row ID,x,y,z,radius,Tryptophan,Hexadecenoic acid,Triethyl citrate,Octadecenoic acid,Piperine,Sphingosine (d17:1),Epicatechin,Aspartame,4-Sphingenine,Fluconazole,Avobenzone,Phytosphingosine,Monoethanolamine oleic acid amide,Erucamide,Cocamidopropyl betaine,Sodium Laureth Sulfate,Octocrylene,Tangeretin,Sodium laureth sulfate + Na,7-Ketocholesterol,Nobiletin,Azoxystrobin,Amlodipine,Taurocholate,Oleoyl lysolecithin,Sphingomyelin,Lactosylceramide
P3_Vol4_Chair_RB10_01_5889,1.830822,0.863797,1.867003,0.08,0,44492.69922,0,26223,0,0,13958,0,47620.19922,1172290,0,0,0,1469910,168109,6454.990234,5360.970215,0,9776.759766,46616.30078,0,0,0,0,0,0,533273
P3_Vol4_Chair_RB11_01_5890,1.679191,1.11393,1.449115,0.05,0,14191.7998,0,36543.39844,0,0,20125.19922,0,34810.80078,939282,0,0,0,2360580,139272,0,5115.600098,0,0,25223.69922,0,0,0,0,0,0,0
P3_Vol4_Chair_RB12_01_5891,1.894409,0.922197,1.481811,0.05,0,201790,0,45082.19922,0,0,0,25590.5,429343,861653,0,23363.19922,0,2605970,5611020,256118,4687.75,0,159386,42074.69922,0,0,0,313020,0,0,0
P3_Vol4_Chair_RB2_01_5881,2.255749,0.955951,0.118639,0.08,0,19998.90039,0,63209.69922,0,0,16346.2002,0,20143.30078,1293900,0,0,0,329888,144478,4876.220215,0,0,0,35784.80078,0,0,0,0,0,0,0
P3_Vol4_Chair_RB3_01_5882,1.786363,1.14351,0.23396,0.05,0,20684.90039,0,15390.2002,0,0,9905.679688,0,17336.59961,1279280,0,0,0,258583,122649,0,0,0,0,14030.5,0,0,0,0,0,0,0
P3_Vol4_Chair_RB4_01_5883,2.191298,0.931887,0.526325,0.05,0,39985.30078,0,45002.60156,0,0,17922.40039,0,484940,1117180,9864.05957,0,0,501660,6421460,135030,6265.080078,0,54657.80078,56860,0,0,0,0,0,0,0
P3_Vol4_Chair_RB5_01_5884,1.851685,0.924047,0.052197,0.05,0,10624.2002,0,58925.80078,0,0,23222.80078,0,176741,990234,0,0,0,182729,4214180,31997.09961,0,0,25345.59961,75676,0,0,0,0,0,0,0
P3_Vol4_Chair_RB6_01_5885,0.895699,0.908128,0.556357,0.08,0,0,0,45614,0,0,17131.80078,0,28890.19922,1249200,0,0,0,473348,293738,7810.660156,0,0,13210.7002,72262.29688,0,0,0,0,0,0,0
P3_Vol4_Chair_RB7_01_5886,0.999038,1.162029,0.490526,0.05,0,0,0,47825.89844,0,0,0,0,35223.10156,1078880,0,0,0,254597,126194,0,0,0,0,36301.19922,0,0,0,0,0,0,0
P3_Vol4_Chair_RB8_01_5887,1.236587,0.920752,0.308657,0.05,0,32835.30078,0,28881.19922,0,0,10164.7998,0,506038,910566,4463.589844,0,0,1296050,6714000,39623.5,0,0,37628.69922,65770.20313,0,0,0,0,0,0,0
P3_Vol4_Chair_RB9_01_5888,1.143123,0.909488,0.880446,0.05,0,90620.29688,8706.070313,65769.5,0,0,14966.90039,25730.40039,1469260,1169450,15930,14123.7998,0,2179480,6655600,109928,5001.569824,0,64620.19922,89295.79688,0,0,0,0,0,0,0
P3_Vol4_Computer_RA1_01_5867,1.729895,0.809564,0.314981,0.05,0,294973,0,53954.5,12645.2998,0,10296.2002,0,813883,1232810,2559450,0,6533.120117,2698600,1813990,87466,5096,111071,51672.60156,191424,203129,0,0,0,0,0,0
P3_Vol4_Computer_RA2_01_5868,1.853458,0.81035,0.259388,0.05,0,425555,0,104858,16810.80078,13760.90039,0,0,1042660,858524,2859410,0,21154.90039,2347930,2668190,156883,7849.910156,49756.60156,74989.39844,208201,65785.10156,0,0,0,0,0,0
P3_Vol4_Computer_RA3_01_5869,1.818305,0.808739,0.523325,0.05,0,106386,0,34709.89844,17756.40039,0,16901.09961,36533.80078,878930,755962,1108410,0,0,863660,1598050,78089,5184.560059,307347,65467.89844,168627,1223330,0,0,0,0,0,0
P3_Vol4_Computer_RA4_01_5870,1.962704,0.809718,0.482294,0.05,0,292572,0,56827.10156,32555.90039,0,40073.89844,0,1680520,1201110,2281410,0,21213.80078,808154,3361800,189725,21814.40039,392764,120451,239142,2023120,0,0,0,0,0,0
P3_Vol4_Computer_RA5_01_5871,1.659743,0.694424,0.299607,0.05,0,100463,0,101662,0,0,29819.30078,0,375462,1224250,1078210,0,0,305683,1113530,46890.69922,0,0,39024.39844,85249.10156,0,0,0,0,0,0,0
P3_Vol4_Computer_RA6_01_5872,1.70436,0.603563,0.41327,0.05,0,163612,0,72581.5,46700.39844,32536.09961,19988.09961,0,2147510,1192080,1723790,0,6873.899902,1349810,2973320,253271,15218.90039,74259.89844,131442,170312,52405.19922,0,0,0,0,0,0
