row ID,x,y,z,r,Phenylalanine,Isopentenyl pyrophosphate,Diethyltoluamide,Dimethyl phthalate,Caffeine,delta-Dodecalactone,L-Tryptophan,N-Tetradecanoyl-L-homoserine Lactone,Glycyl-L-phenylalanine,Oxybenzone,Diethyl azelate,Myristic acid ethyl ester,"cis-9,10-methylene-hexadecanoic acid",Doxylamine,Dextromethorphan,4-Acetylpiperidinium Chloride,Diisobutyl phthalate,"Conjugated linoleic Acid (10E,12Z)",Oleic acid,(-)-Epicatechin,Avobenzone,Dihydrosphingosine (19:0),Phytosphingosine,Sodium Laureth Sulfate,Monoelaidin,Hexapropylene glycol,Sodium Laureth Sulfate + Na,Dioctyl phthalate,Tributoxyethyl phosphate,Glycodeoxycholic acid,Glycocholic acid
Plate3_V3_GG7_01_11726,-4.7721,-3.6416,61.3992,0.6,0,0,100396,0,0,10502.2998,317464,73662.20313,0,48159.89844,45263.19922,143475,268158,0,123260,12138.59961,51601.89844,30374.69922,228946,0,29484.69922,17184.40039,314480,36258.39844,0,0,36092.60156,20627.5,18702,0,0
Plate3_V3_GG8_01_11727,-3.0105,-4.3958,61.069,0.6,0,0,130340,0,0,8787.120117,963512,235316,0,42141,11186.90039,27166.59961,14885.2002,0,132600,11169.5,33325.30078,64530.80078,273174,0,0,47244.80078,797461,88072,28778.59961,0,67906.60156,5737.129883,39800.19922,0,0
Plate3_V3_GG9_01_11728,-5.7625,-3.5681,60.2156,0.6,0,0,90472.89844,0,0,0,643609,53742.60156,0,116870,34293.89844,19862.5,153688,0,72249.39844,0,40279.80078,30137.5,157996,0,185616,10550.7002,141535,35614.69922,0,0,28432.09961,28596.59961,23166,19120.90039,0
Plate3_V3_GH10_01_11758,-0.2475,-4.7698,49.1616,0.6,0,0,70597.39844,0,0,0,2084490,116508,0,61777.89844,0,0,48295.10156,0,279206,0,36016.5,69120.29688,324276,0,116290,0,636025,233668,34424.5,0,231074,42733.89844,104604,0,0
Plate3_V3_GH12_01_11760,-3.35,-3.8242,49.0953,0.6,0,0,117236,0,0,0,630285,32072.59961,0,103319,0,0,17484.30078,0,97122,0,49590,17006.90039,102450,0,64247.69922,0,47544,58632.69922,0,0,34161.19922,32112.59961,21102.19922,0,0
Plate3_V3_GH2_01_11748,-1.7623,-5.55,57.184,0.6,0,0,107645,0,0,15057.90039,1148910,107059,0,88442.10156,103902,52898.60156,12303.59961,0,529258,15350.2002,51487,44570.80078,155017,22378.30078,21182,33076.69922,635972,117752,0,0,76360.10156,11280.59961,62181.80078,0,0
Plate3_V3_GH3_01_11749,-3.9634,-4.4956,55.6456,0.6,1118800,0,54895.69922,0,25718.09961,0,1073840,95816.39844,0,170136,20354.40039,17348.5,49479.10156,0,309587,0,35295.30078,51838.10156,130082,0,184174,0,185399,63212.10156,0,0,38773.30078,17108.19922,32537.19922,0,0
Plate3_V3_GH8_01_11756,-0.7003,-5.1738,51.3477,0.6,0,0,132541,0,0,0,1133220,125508,0,226233,37531.69922,24548.90039,173409,0,187347,0,49999.39844,33197.69922,186790,0,155774,21872.5,166756,75541.10156,0,0,67099.60156,30274.80078,42604.80078,0,0
Plate3_V3_GH9_01_11757,-1.664,-4.6583,50.0984,0.6,0,0,150641,0,0,0,768089,53241,0,168518,8889.429688,7215.100098,53106.30078,0,171612,0,64685.10156,29508.90039,155733,0,127483,82833.70313,167579,89314.39844,5421.830078,0,74084.60156,33220.30078,40603.89844,0,0
Plate3_V3_rerun_E1_01_11764,-6.7152,-1.2283,57.8229,0.6,559005,0,32965.80078,0,0,0,476756,43341.39844,0,868340,0,0,48776.60156,0,113178,0,25396.90039,13197,127794,0,806716,0,40032.89844,37274.60156,0,0,17829.69922,60068.5,29898.80078,0,0
Plate3_V3_rerun_F1_01_11765,-9.2841,-0.6048,42.3361,0.6,0,0,30035.90039,0,0,24039.30078,681465,22744,0,113486,0,0,20683.30078,0,63778.19922,0,28792.09961,0,29456.59961,16677.30078,90846.10156,0,0,22433.40039,0,0,17370.90039,0,14786.59961,0,0
